time,value,sigma,name,global,n,condition
2,5.5178483652,0.226775788170343,op,pds,1,standard_nP
4,5.00728695815,0.205792434190087,op,pds,1,standard_nP
6,4.4753125384,0.183929035579291,op,pds,1,standard_nP
8,4.2493492891,0.174642264623317,op,pds,1,standard_nP
10,3.9855128964,0.163798960872052,op,pds,1,standard_nP
20,3.45641506865,0.142053786139491,op,pds,1,standard_nP
30,2.34059752565,0.0961952583513842,op,pds,1,standard_nP
32,2.30694269,0.0948120920576611,op,pds,1,standard_nP
34,2.2074624354,0.0907235938555713,op,pds,1,standard_nP
36,2.2313123151,0.0917037902841249,op,pds,1,standard_nP
38,2.15487178475,0.0885621922640683,op,pds,1,standard_nP
40,2.2152442815,0.0910434167582722,op,pds,1,standard_nP
50,2.1153603383,0.0869383275242237,op,pds,1,standard_nP
60,2.2028230927,0.0905329234118406,op,pds,1,standard_nP
32,2.29720280945,0.0944117966997655,op,pds,1,pds_nP
34,2.15076313635,0.0883933326078233,op,pds,1,pds_nP
36,1.9421278652,0.0798187171301052,op,pds,1,pds_nP
38,1.76311446895,0.0724615189470182,op,pds,1,pds_nP
40,1.6805555453,0.0690684635909812,op,pds,1,pds_nP
50,1.6509251449,0.067850695912779,op,pds,1,pds_nP
60,1.4094257288,0.057925410423301,op,pds,1,pds_nP
0,6.4983450883,0.267072821071733,op,pds,1,pds_nP
1,5.8267592766,0.239471591090258,op,pds,1,pds_nP
2,5.5178483652,0.226775788170343,op,pds,1,pds_nP
4,5.00728695815,0.205792434190087,op,pds,1,pds_nP
6,4.4753125384,0.183929035579291,op,pds,1,pds_nP
8,4.2493492891,0.174642264623317,op,pds,1,pds_nP
10,3.9855128964,0.163798960872052,op,pds,1,pds_nP
20,3.45641506865,0.142053786139491,op,pds,1,pds_nP
30,2.34059752565,0.0961952583513842,op,pds,1,pds_nP
1,0.68,0.0375745692676907,opf,pds,1,standard_nP
2,1.05,0.0546716249823148,opf,pds,1,standard_nP
4,1.47,0.0748115740558875,opf,pds,1,standard_nP
6,1.585,0.0803890480585704,opf,pds,1,standard_nP
8,1.615,0.0818470087281241,opf,pds,1,standard_nP
10,1.58,0.0801461660394394,opf,pds,1,standard_nP
20,1.485,0.0755379619698676,opf,pds,1,standard_nP
30,1.485,0.0755379619698676,opf,pds,1,standard_nP
32,1.445,0.0736017347845536,opf,pds,1,standard_nP
34,1.45,0.073843620061695,opf,pds,1,standard_nP
36,1.44,0.0733598916129097,opf,pds,1,standard_nP
38,1.45,0.073843620061695,opf,pds,1,standard_nP
40,1.465,0.0745695244283495,opf,pds,1,standard_nP
50,1.43,0.0728763332627876,opf,pds,1,standard_nP
60,1.47,0.0748115740558875,opf,pds,1,standard_nP
32,1.535,0.0779617318884601,opf,pds,1,pds_nP
34,1.515,0.0769917796044875,opf,pds,1,pds_nP
36,1.435,0.0731180909645638,opf,pds,1,pds_nP
38,1.4,0.0714267133453351,opf,pds,1,pds_nP
40,1.34,0.0685325562340887,opf,pds,1,pds_nP
50,1.285,0.0658861640930303,opf,pds,1,pds_nP
60,1.23,0.0632468855388535,opf,pds,1,pds_nP
1,0.68,0.0375745692676907,opf,pds,1,pds_nP
2,1.05,0.0546716249823148,opf,pds,1,pds_nP
4,1.47,0.0748115740558875,opf,pds,1,pds_nP
6,1.585,0.0803890480585704,opf,pds,1,pds_nP
8,1.615,0.0818470087281241,opf,pds,1,pds_nP
10,1.58,0.0801461660394394,opf,pds,1,pds_nP
20,1.485,0.0755379619698676,opf,pds,1,pds_nP
30,1.485,0.0755379619698676,opf,pds,1,pds_nP
1,0.195,0.017886707564507,oz,pds,1,standard_nP
2,0.49,0.0449460551700759,oz,pds,1,standard_nP
4,1.165,0.106861528099688,oz,pds,1,standard_nP
6,1.81,0.166025204550116,oz,pds,1,standard_nP
8,2.2,0.201798590555576,oz,pds,1,standard_nP
10,2.47,0.226564780918009,oz,pds,1,standard_nP
20,3.23,0.296277020582152,oz,pds,1,standard_nP
30,3.53,0.323795009955021,oz,pds,1,standard_nP
32,3.52,0.322877743642389,oz,pds,1,standard_nP
34,3.545,0.325170909423994,oz,pds,1,standard_nP
