name	time	value	sigma	experiment	changeCa	compound	dose
cellular	120	2.67629204241475	0.126501314340266	exp4	no	Csa	20
cellular	160	2.8494453869996	0.139170095798363	exp4	no	Csa	20
buffer	35	59.9140383126168	4.55018174666461	exp4	no	Csa	20
buffer	40	65.8499630473148	4.54334163294641	exp4	no	Csa	20
buffer	50	54.3795229406925	4.53327395292491	exp4	no	Csa	20
buffer	60	67.5580744186044	4.52626484374476	exp4	no	Csa	20
buffer	80	56.4910017149626	4.51723663963676	exp4	no	Csa	20
buffer	100	59.3772068836442	4.51168446473141	exp4	no	Csa	20
buffer	120	58.6025404065447	4.50790532170472	exp4	no	Csa	20
buffer	160	61.5380587769648	4.50304332425429	exp4	no	Csa	20
cellular	35	0.464543956627213	0.013907644454979	exp4	no	Csa	50
cellular	40	0.904822231159215	0.028249520022322	exp4	no	Csa	50
cellular	50	1.36163210853791	0.04634523532589	exp4	no	Csa	50
cellular	60	1.67450002896858	0.057280289395996	exp4	no	Csa	50
cellular	80	2.04257846279203	0.070389534022485	exp4	no	Csa	50
cellular	100	2.1849818203347	0.078543357787693	exp4	no	Csa	50
cellular	120	2.31492714996226	0.084363139359308	exp4	no	Csa	50
cellular	160	2.55854065193207	0.092314011893308	exp4	no	Csa	50
buffer	35	64.1457743772337	4.5510952356616	exp4	no	Csa	50
buffer	40	53.3082959670757	4.54558933332627	exp4	no	Csa	50
buffer	50	56.187078996403	4.53864461327521	exp4	no	Csa	50
buffer	60	54.4151881556569	4.5344479826888	exp4	no	Csa	50
buffer	80	57.8280570014728	4.52941694525909	exp4	no	Csa	50
buffer	100	49.4800421394635	4.52628768847103	exp4	no	Csa	50
buffer	120	53.35518678931	4.52405418533123	exp4	no	Csa	50
buffer	160	58.2523474892495	4.52100281672752	exp4	no	Csa	50
cellular	35	0.357248369854266	0.061724507644378	exp4	no	Cpz	20
cellular	40	0.673072573132281	0.109105788966666	exp4	no	Cpz	20
cellular	50	1.00436730459533	0.189229048524182	exp4	no	Cpz	20
cellular	60	1.49208206072189	0.253639281306363	exp4	no	Cpz	20
cellular	80	1.91439233168089	0.351952412669715	exp4	no	Cpz	20
cellular	100	2.548672986689	0.426244794237313	exp4	no	Cpz	20
cellular	120	2.43026466668916	0.486640264908426	exp4	no	Cpz	20
cellular	160	3.55820316197919	0.582784023748264	exp4	no	Cpz	20
buffer	35	62.9736249470958	4.53265982885144	exp4	no	Cpz	20
buffer	40	60.5390724101257	4.51447220399509	exp4	no	Cpz	20
buffer	50	55.1963244769951	4.48372269498129	exp4	no	Cpz	20
buffer	60	59.1027341386078	4.45900348387512	exp4	no	Cpz	20
buffer	80	52.7267169366083	4.42127308331183	exp4	no	Cpz	20
buffer	100	49.4552762427205	4.39276131391432	exp4	no	Cpz	20
buffer	120	55.0232583261146	4.36958287121907	exp4	no	Cpz	20
buffer	160	55.6961391366009	4.33268502809871	exp4	no	Cpz	20
cellular	35	0.04859301858268	0.03579127985502	exp4	no	Cpz	50
cellular	40	0.067005344739179	0.064435894037078	exp4	no	Cpz	50
cellular	50	0.387906189892942	0.11651436028748	exp4	no	Cpz	50
cellular	60	0.583878957239382	0.162868308330343	exp4	no	Cpz	50
cellular	80	0.210603950567375	0.244009526725595	exp4	no	Cpz	50
cellular	100	0.435674682833191	0.315485678561337	exp4	no	Cpz	50
